row_id,user_id,item_id,rating,review_length,sentiment_label,sentiment_1_5,sentiment_expected_1_5,sentiment_scores,sentiment_p1,sentiment_p2,sentiment_p3,sentiment_p4,sentiment_p5
0,4712,1853,5.0,74,positive,4,3.9406785285682417,"{""strongly negative"": 0.000791, ""negative"": 0.008806, ""negative or neutral"": 0.075005, ""positive"": 0.879731, ""strongly positive"": 0.035668}",0.000791,0.008806,0.075005,0.879731,0.035668
1,2947,909,1.0,18,negative,2,1.7371483794413507,"{""strongly negative"": 0.336182, ""negative"": 0.600993, ""negative or neutral"": 0.054899, ""positive"": 0.005349, ""strongly positive"": 0.002578}",0.336182,0.600993,0.054899,0.005349,0.002578
2,3214,3175,4.0,269,positive,4,4.015654847375117,"{""strongly negative"": 0.001028, ""negative"": 0.004308, ""negative or neutral"": 0.037283, ""positive"": 0.892741, ""strongly positive"": 0.064639}",0.001028,0.004308,0.037283,0.892741,0.064639
3,1968,3420,3.0,287,positive,4,3.678574588717311,"{""strongly negative"": 0.000217, ""negative"": 0.004496, ""negative or neutral"": 0.313407, ""positive"": 0.680254, ""strongly positive"": 0.001626}",0.000217,0.004496,0.313407,0.680254,0.001626
4,4530,2742,4.0,52,negative or neutral,3,3.310567439941224,"{""strongly negative"": 0.00027, ""negative"": 0.018532, ""negative or neutral"": 0.652663, ""positive"": 0.327432, ""strongly positive"": 0.001103}",0.00027,0.018532,0.652663,0.327432,0.001103
5,3775,796,4.0,354,negative or neutral,3,3.121115482616005,"{""strongly negative"": 0.000389, ""negative"": 0.053243, ""negative or neutral"": 0.771858, ""positive"": 0.173882, ""strongly positive"": 0.000628}",0.000389,0.053243,0.771858,0.173882,0.000628
6,3468,1129,4.0,85,positive,4,3.8911331037525088,"{""strongly negative"": 0.000261, ""negative"": 0.006601, ""negative or neutral"": 0.106941, ""positive"": 0.874137, ""strongly positive"": 0.01206}",0.000261,0.006601,0.106941,0.874137,0.01206
7,3373,2170,4.0,229,positive,4,4.084103851404507,"{""strongly negative"": 0.000589, ""negative"": 0.002259, ""negative or neutral"": 0.014585, ""positive"": 0.877593, ""strongly positive"": 0.104974}",0.000589,0.002259,0.014585,0.877593,0.104974
8,1252,1503,4.0,145,positive,4,3.982245296574547,"{""strongly negative"": 0.000142, ""negative"": 0.000749, ""negative or neutral"": 0.024516, ""positive"": 0.965907, ""strongly positive"": 0.008686}",0.000142,0.000749,0.024516,0.965907,0.008686
9,706,596,5.0,77,positive,4,3.865362885495415,"{""strongly negative"": 0.000212, ""negative"": 0.002741, ""negative or neutral"": 0.134767, ""positive"": 0.856032, ""strongly positive"": 0.006248}",0.000212,0.002741,0.134767,0.856032,0.006248
10,3937,1453,5.0,101,positive,4,4.18462826218456,"{""strongly negative"": 0.000909, ""negative"": 0.000991, ""negative or neutral"": 0.006465, ""positive"": 0.795834, ""strongly positive"": 0.195801}",0.000909,0.000991,0.006465,0.795834,0.195801
11,187,1168,4.0,244,positive,4,3.5185311819368508,"{""strongly negative"": 0.000296, ""negative"": 0.007877, ""negative or neutral"": 0.466314, ""positive"": 0.524024, ""strongly positive"": 0.001488}",0.000296,0.007877,0.466314,0.524024,0.001488
12,2886,2693,5.0,91,positive,4,3.510149045803701,"{""strongly negative"": 0.000122, ""negative"": 0.005068, ""negative or neutral"": 0.480421, ""positive"": 0.513319, ""strongly positive"": 0.001071}",0.000122,0.005068,0.480421,0.513319,0.001071
13,1252,1325,4.0,124,positive,4,3.973439229434007,"{""strongly negative"": 0.000229, ""negative"": 0.001004, ""negative or neutral"": 0.034749, ""positive"": 0.953135, ""strongly positive"": 0.010883}",0.000229,0.001004,0.034749,0.953135,0.010883
14,3820,137,5.0,733,negative or neutral,3,3.165799888782203,"{""strongly negative"": 0.000311, ""negative"": 0.019993, ""negative or neutral"": 0.793835, ""positive"": 0.185309, ""strongly positive"": 0.000553}",0.000311,0.019993,0.793835,0.185309,0.000553
15,2358,1600,5.0,175,positive,4,4.084739671554416,"{""strongly negative"": 0.000571, ""negative"": 0.001062, ""negative or neutral"": 0.009716, ""positive"": 0.89036, ""strongly positive"": 0.098292}",0.000571,0.001062,0.009716,0.89036,0.098292
16,1198,1671,4.0,78,negative or neutral,3,2.8096542206476443,"{""strongly negative"": 0.000989, ""negative"": 0.266917, ""negative or neutral"": 0.654388, ""positive"": 0.076863, ""strongly positive"": 0.000843}",0.000989,0.266917,0.654388,0.076863,0.000843
17,1252,1006,3.0,133,positive,4,3.7768513855116894,"{""strongly negative"": 0.00014, ""negative"": 0.00298, ""negative or neutral"": 0.217969, ""positive"": 0.777712, ""strongly positive"": 0.001199}",0.00014,0.00298,0.217969,0.777712,0.001199
18,1201,1558,5.0,31,positive,4,3.999494146177312,"{""strongly negative"": 0.000213, ""negative"": 0.00072, ""negative or neutral"": 0.020483, ""positive"": 0.956526, ""strongly positive"": 0.022057}",0.000213,0.00072,0.020483,0.956526,0.022057
19,2429,3319,5.0,63,positive,4,3.868307453492889,"{""strongly negative"": 0.000365, ""negative"": 0.003282, ""negative or neutral"": 0.129814, ""positive"": 0.860759, ""strongly positive"": 0.00578}",0.000365,0.003282,0.129814,0.860759,0.00578
