row_id,user_id,item_id,rating,review_length,sentiment_label,sentiment_1_5,sentiment_expected_1_5,sentiment_scores,sentiment_p1,sentiment_p2,sentiment_p3,sentiment_p4,sentiment_p5
0,2991,1330,5.0,56,positive,4,4.0256111856142525,"{""strongly negative"": 0.000355, ""negative"": 0.000677, ""negative or neutral"": 0.01181, ""positive"": 0.947317, ""strongly positive"": 0.039841}",0.000355,0.000677,0.01181,0.947317,0.039841
1,4200,110,5.0,338,positive,4,3.826547390286578,"{""strongly negative"": 0.000135, ""negative"": 0.001003, ""negative or neutral"": 0.172309, ""positive"": 0.825287, ""strongly positive"": 0.001266}",0.000135,0.001003,0.172309,0.825287,0.001266
2,2523,1011,5.0,26,negative or neutral,3,3.371954569709488,"{""strongly negative"": 0.000265, ""negative"": 0.011346, ""negative or neutral"": 0.605784, ""positive"": 0.381379, ""strongly positive"": 0.001226}",0.000265,0.011346,0.605784,0.381379,0.001226
3,305,481,4.0,28,positive,4,3.997563259938033,"{""strongly negative"": 0.000193, ""negative"": 0.000561, ""negative or neutral"": 0.018705, ""positive"": 0.962573, ""strongly positive"": 0.017968}",0.000193,0.000561,0.018705,0.962573,0.017968
4,1871,880,4.0,149,positive,4,3.720684219064424,"{""strongly negative"": 0.000246, ""negative"": 0.007233, ""negative or neutral"": 0.266007, ""positive"": 0.72462, ""strongly positive"": 0.001894}",0.000246,0.007233,0.266007,0.72462,0.001894
5,3314,1556,2.0,20,negative or neutral,3,3.1710832251992542,"{""strongly negative"": 0.000392, ""negative"": 0.03268, ""negative or neutral"": 0.762886, ""positive"": 0.203536, ""strongly positive"": 0.000506}",0.000392,0.03268,0.762886,0.203536,0.000506
6,1686,373,5.0,103,negative,2,2.5456719254725613,"{""strongly negative"": 0.00216, ""negative"": 0.483656, ""negative or neutral"": 0.481157, ""positive"": 0.032403, ""strongly positive"": 0.000623}",0.00216,0.483656,0.481157,0.032403,0.000623
7,4534,282,1.0,33,negative,2,1.5778198586776853,"{""strongly negative"": 0.465074, ""negative"": 0.50594, ""negative or neutral"": 0.019869, ""positive"": 0.004325, ""strongly positive"": 0.004792}",0.465074,0.50594,0.019869,0.004325,0.004792
8,4614,1107,4.0,40,positive,4,4.095918534323573,"{""strongly negative"": 0.000602, ""negative"": 0.001212, ""negative or neutral"": 0.007625, ""positive"": 0.882786, ""strongly positive"": 0.107774}",0.000602,0.001212,0.007625,0.882786,0.107774
9,1619,727,5.0,23,strongly positive,5,4.663381379912607,"{""strongly negative"": 0.001746, ""negative"": 0.00166, ""negative or neutral"": 0.003784, ""positive"": 0.317086, ""strongly positive"": 0.675724}",0.001746,0.00166,0.003784,0.317086,0.675724
10,3077,880,4.0,65,negative or neutral,3,3.167141608530073,"{""strongly negative"": 0.000116, ""negative"": 0.006783, ""negative or neutral"": 0.819301, ""positive"": 0.173444, ""strongly positive"": 0.000356}",0.000116,0.006783,0.819301,0.173444,0.000356
11,3518,1182,5.0,16,strongly positive,5,4.653614755952731,"{""strongly negative"": 0.001464, ""negative"": 0.001175, ""negative or neutral"": 0.003093, ""positive"": 0.330817, ""strongly positive"": 0.663451}",0.001464,0.001175,0.003093,0.330817,0.663451
12,3486,1351,4.0,96,negative or neutral,3,3.297934294620063,"{""strongly negative"": 0.000798, ""negative"": 0.052512, ""negative or neutral"": 0.596185, ""positive"": 0.348967, ""strongly positive"": 0.001538}",0.000798,0.052512,0.596185,0.348967,0.001538
13,4978,1587,2.0,24,negative,2,2.2042020564549603,"{""strongly negative"": 0.005601, ""negative"": 0.801317, ""negative or neutral"": 0.17726, ""positive"": 0.014921, ""strongly positive"": 0.0009}",0.005601,0.801317,0.17726,0.014921,0.0009
14,4555,1075,3.0,50,negative,2,2.1799490956473164,"{""strongly negative"": 0.004368, ""negative"": 0.818711, ""negative or neutral"": 0.170189, ""positive"": 0.00607, ""strongly positive"": 0.000663}",0.004368,0.818711,0.170189,0.00607,0.000663
