row_id,user_id,item_id,rating,review_length,sentiment_label,sentiment_1_5,sentiment_expected_1_5,sentiment_scores,sentiment_p1,sentiment_p2,sentiment_p3,sentiment_p4,sentiment_p5
0,181,2029,3.0,103,negative,2,2.0282529280520976,"{""strongly negative"": 0.019864, ""negative"": 0.937423, ""negative or neutral"": 0.038242, ""positive"": 0.003538, ""strongly positive"": 0.000933}",0.019864,0.937423,0.038242,0.003538,0.000933
1,1460,279,5.0,189,positive,4,3.785773081559455,"{""strongly negative"": 0.000319, ""negative"": 0.003318, ""negative or neutral"": 0.208928, ""positive"": 0.785142, ""strongly positive"": 0.002294}",0.000319,0.003318,0.208928,0.785142,0.002294
2,3904,2273,5.0,43,positive,4,3.977656492526876,"{""strongly negative"": 0.000475, ""negative"": 0.001731, ""negative or neutral"": 0.048957, ""positive"": 0.917336, ""strongly positive"": 0.031501}",0.000475,0.001731,0.048957,0.917336,0.031501
3,427,1003,5.0,39,positive,4,4.00703920610249,"{""strongly negative"": 0.001725, ""negative"": 0.006405, ""negative or neutral"": 0.06302, ""positive"": 0.840804, ""strongly positive"": 0.088045}",0.001725,0.006405,0.06302,0.840804,0.088045
4,1564,3,5.0,41,positive,4,3.625674754148349,"{""strongly negative"": 0.000279, ""negative"": 0.005448, ""negative or neutral"": 0.365669, ""positive"": 0.625529, ""strongly positive"": 0.003075}",0.000279,0.005448,0.365669,0.625529,0.003075
5,910,1295,3.0,62,negative,2,2.1377426871913485,"{""strongly negative"": 0.005153, ""negative"": 0.858486, ""negative or neutral"": 0.130415, ""positive"": 0.005357, ""strongly positive"": 0.000589}",0.005153,0.858486,0.130415,0.005357,0.000589
6,1997,2224,5.0,75,positive,4,3.87764918175526,"{""strongly negative"": 0.00243, ""negative"": 0.025209, ""negative or neutral"": 0.112054, ""positive"": 0.812895, ""strongly positive"": 0.047412}",0.00243,0.025209,0.112054,0.812895,0.047412
7,2420,2089,4.0,74,negative or neutral,3,3.22209210183064,"{""strongly negative"": 0.000197, ""negative"": 0.014311, ""negative or neutral"": 0.749291, ""positive"": 0.235606, ""strongly positive"": 0.000596}",0.000197,0.014311,0.749291,0.235606,0.000596
8,4391,585,5.0,175,positive,4,3.560612200119067,"{""strongly negative"": 0.000373, ""negative"": 0.006235, ""negative or neutral"": 0.427994, ""positive"": 0.563204, ""strongly positive"": 0.002194}",0.000373,0.006235,0.427994,0.563204,0.002194
9,3767,1934,5.0,24,positive,4,3.981206887692679,"{""strongly negative"": 0.000463, ""negative"": 0.002377, ""negative or neutral"": 0.044297, ""positive"": 0.921218, ""strongly positive"": 0.031646}",0.000463,0.002377,0.044297,0.921218,0.031646
10,2767,1109,5.0,120,positive,4,3.87591041153064,"{""strongly negative"": 0.000254, ""negative"": 0.002579, ""negative or neutral"": 0.122639, ""positive"": 0.870059, ""strongly positive"": 0.004469}",0.000254,0.002579,0.122639,0.870059,0.004469
11,4078,153,1.0,80,negative,2,2.0454797544516623,"{""strongly negative"": 0.05098, ""negative"": 0.868758, ""negative or neutral"": 0.066536, ""positive"": 0.011254, ""strongly positive"": 0.002472}",0.05098,0.868758,0.066536,0.011254,0.002472
12,142,946,5.0,105,positive,4,3.981158318609232,"{""strongly negative"": 0.000396, ""negative"": 0.003258, ""negative or neutral"": 0.039276, ""positive"": 0.928932, ""strongly positive"": 0.028138}",0.000396,0.003258,0.039276,0.928932,0.028138
13,4834,300,3.0,56,positive,4,3.8438989638671046,"{""strongly negative"": 0.000183, ""negative"": 0.002343, ""negative or neutral"": 0.154807, ""positive"": 0.838724, ""strongly positive"": 0.003943}",0.000183,0.002343,0.154807,0.838724,0.003943
14,1562,2310,1.0,63,negative or neutral,3,2.9531222676159814,"{""strongly negative"": 0.001295, ""negative"": 0.091307, ""negative or neutral"": 0.861204, ""positive"": 0.045367, ""strongly positive"": 0.000826}",0.001295,0.091307,0.861204,0.045367,0.000826
15,3278,641,4.0,148,negative or neutral,3,3.4833889913279563,"{""strongly negative"": 0.000399, ""negative"": 0.008036, ""negative or neutral"": 0.501356, ""positive"": 0.488192, ""strongly positive"": 0.002016}",0.000399,0.008036,0.501356,0.488192,0.002016
16,1357,1570,5.0,127,positive,4,3.942989265662618,"{""strongly negative"": 0.00047, ""negative"": 0.001995, ""negative or neutral"": 0.072489, ""positive"": 0.904167, ""strongly positive"": 0.020878}",0.00047,0.001995,0.072489,0.904167,0.020878
17,3903,2419,5.0,36,positive,4,3.881009821780026,"{""strongly negative"": 0.00049, ""negative"": 0.003838, ""negative or neutral"": 0.119633, ""positive"": 0.866248, ""strongly positive"": 0.00979}",0.00049,0.003838,0.119633,0.866248,0.00979
18,526,1383,4.0,95,negative or neutral,3,3.1622565992438467,"{""strongly negative"": 0.000133, ""negative"": 0.015072, ""negative or neutral"": 0.807679, ""positive"": 0.176636, ""strongly positive"": 0.000479}",0.000133,0.015072,0.807679,0.176636,0.000479
19,4378,1228,4.0,171,positive,4,3.7817022472736426,"{""strongly negative"": 0.000488, ""negative"": 0.00472, ""negative or neutral"": 0.211346, ""positive"": 0.779491, ""strongly positive"": 0.003954}",0.000488,0.00472,0.211346,0.779491,0.003954
20,2660,420,2.0,108,negative or neutral,3,3.0938707992900163,"{""strongly negative"": 0.001026, ""negative"": 0.096256, ""negative or neutral"": 0.711953, ""positive"": 0.189351, ""strongly positive"": 0.001414}",0.001026,0.096256,0.711953,0.189351,0.001414
21,2961,568,3.0,75,negative or neutral,3,3.269853802368744,"{""strongly negative"": 0.000417, ""negative"": 0.033619, ""negative or neutral"": 0.662908, ""positive"": 0.301807, ""strongly positive"": 0.001249}",0.000417,0.033619,0.662908,0.301807,0.001249
22,2790,1047,4.0,330,positive,4,3.815188973239856,"{""strongly negative"": 0.000264, ""negative"": 0.002495, ""negative or neutral"": 0.181832, ""positive"": 0.812608, ""strongly positive"": 0.002801}",0.000264,0.002495,0.181832,0.812608,0.002801
23,2240,2221,5.0,335,positive,4,3.814650553482352,"{""strongly negative"": 0.000311, ""negative"": 0.00191, ""negative or neutral"": 0.18536, ""positive"": 0.807659, ""strongly positive"": 0.004761}",0.000311,0.00191,0.18536,0.807659,0.004761
24,629,1576,5.0,44,positive,4,4.029967471724376,"{""strongly negative"": 0.000647, ""negative"": 0.001871, ""negative or neutral"": 0.025401, ""positive"": 0.911028, ""strongly positive"": 0.061053}",0.000647,0.001871,0.025401,0.911028,0.061053
25,26,2111,5.0,81,positive,4,3.909221381894895,"{""strongly negative"": 0.000196, ""negative"": 0.001491, ""negative or neutral"": 0.09434, ""positive"": 0.896844, ""strongly positive"": 0.00713}",0.000196,0.001491,0.09434,0.896844,0.00713
26,4747,2302,5.0,151,positive,4,3.9721009611384943,"{""strongly negative"": 0.000612, ""negative"": 0.00173, ""negative or neutral"": 0.052928, ""positive"": 0.914406, ""strongly positive"": 0.030324}",0.000612,0.00173,0.052928,0.914406,0.030324
27,3993,1036,5.0,130,positive,4,3.980955010978505,"{""strongly negative"": 0.00034, ""negative"": 0.001964, ""negative or neutral"": 0.036236, ""positive"": 0.939322, ""strongly positive"": 0.022138}",0.00034,0.001964,0.036236,0.939322,0.022138
28,3541,1524,5.0,113,positive,4,3.94393559533637,"{""strongly negative"": 0.000498, ""negative"": 0.001575, ""negative or neutral"": 0.070472, ""positive"": 0.908404, ""strongly positive"": 0.019051}",0.000498,0.001575,0.070472,0.908404,0.019051
29,2700,831,5.0,35,positive,4,4.105493973533157,"{""strongly negative"": 0.000842, ""negative"": 0.003131, ""negative or neutral"": 0.03214, ""positive"": 0.817464, ""strongly positive"": 0.146423}",0.000842,0.003131,0.03214,0.817464,0.146423
30,4392,2071,5.0,81,positive,4,3.88769682891143,"{""strongly negative"": 0.000186, ""negative"": 0.002165, ""negative or neutral"": 0.111795, ""positive"": 0.881473, ""strongly positive"": 0.004381}",0.000186,0.002165,0.111795,0.881473,0.004381
31,4789,825,5.0,28,positive,4,3.778407580102794,"{""strongly negative"": 0.000831, ""negative"": 0.016764, ""negative or neutral"": 0.19195, ""positive"": 0.784075, ""strongly positive"": 0.00638}",0.000831,0.016764,0.19195,0.784075,0.00638
32,387,2126,5.0,149,positive,4,3.672374095127452,"{""strongly negative"": 0.000362, ""negative"": 0.005988, ""negative or neutral"": 0.316843, ""positive"": 0.67453, ""strongly positive"": 0.002278}",0.000362,0.005988,0.316843,0.67453,0.002278
33,4175,646,5.0,60,positive,4,4.074273246224038,"{""strongly negative"": 0.00052, ""negative"": 0.001125, ""negative or neutral"": 0.011166, ""positive"": 0.897939, ""strongly positive"": 0.08925}",0.00052,0.001125,0.011166,0.897939,0.08925
34,804,1861,5.0,144,positive,4,3.967513019451872,"{""strongly negative"": 0.000377, ""negative"": 0.001313, ""negative or neutral"": 0.043694, ""positive"": 0.939652, ""strongly positive"": 0.014963}",0.000377,0.001313,0.043694,0.939652,0.014963
35,1589,1352,5.0,37,positive,4,3.8177531641558735,"{""strongly negative"": 0.000284, ""negative"": 0.00558, ""negative or neutral"": 0.173148, ""positive"": 0.818072, ""strongly positive"": 0.002915}",0.000284,0.00558,0.173148,0.818072,0.002915
36,3138,1794,5.0,52,positive,4,3.633870082732756,"{""strongly negative"": 0.000583, ""negative"": 0.007034, ""negative or neutral"": 0.352912, ""positive"": 0.636873, ""strongly positive"": 0.002599}",0.000583,0.007034,0.352912,0.636873,0.002599
37,1368,150,5.0,92,positive,4,4.052453681011684,"{""strongly negative"": 0.001163, ""negative"": 0.002561, ""negative or neutral"": 0.030451, ""positive"": 0.874312, ""strongly positive"": 0.091514}",0.001163,0.002561,0.030451,0.874312,0.091514
38,942,1510,3.0,31,negative or neutral,3,3.2086602807976305,"{""strongly negative"": 0.000259, ""negative"": 0.024542, ""negative or neutral"": 0.742147, ""positive"": 0.232384, ""strongly positive"": 0.000668}",0.000259,0.024542,0.742147,0.232384,0.000668
39,1496,1582,5.0,211,positive,4,3.977194946346572,"{""strongly negative"": 0.000286, ""negative"": 0.001392, ""negative or neutral"": 0.033024, ""positive"": 0.951435, ""strongly positive"": 0.013862}",0.000286,0.001392,0.033024,0.951435,0.013862
40,1035,2244,1.0,149,negative or neutral,3,2.702770895732101,"{""strongly negative"": 0.00063, ""negative"": 0.316737, ""negative or neutral"": 0.662269, ""positive"": 0.01996, ""strongly positive"": 0.000404}",0.00063,0.316737,0.662269,0.01996,0.000404
41,1933,104,5.0,51,positive,4,4.023183141602203,"{""strongly negative"": 0.000744, ""negative"": 0.002091, ""negative or neutral"": 0.028986, ""positive"": 0.909597, ""strongly positive"": 0.058582}",0.000744,0.002091,0.028986,0.909597,0.058582
42,4464,1240,1.0,33,negative,2,2.209056843305006,"{""strongly negative"": 0.002672, ""negative"": 0.793104, ""negative or neutral"": 0.19716, ""positive"": 0.006623, ""strongly positive"": 0.000441}",0.002672,0.793104,0.19716,0.006623,0.000441
43,4034,334,4.0,82,positive,4,3.874512693961151,"{""strongly negative"": 0.000694, ""negative"": 0.007482, ""negative or neutral"": 0.124961, ""positive"": 0.850342, ""strongly positive"": 0.016521}",0.000694,0.007482,0.124961,0.850342,0.016521
44,3744,2243,5.0,546,positive,4,3.8570185558055528,"{""strongly negative"": 0.000621, ""negative"": 0.005334, ""negative or neutral"": 0.145393, ""positive"": 0.83371, ""strongly positive"": 0.014942}",0.000621,0.005334,0.145393,0.83371,0.014942
45,1261,1332,5.0,215,positive,4,3.826683888939442,"{""strongly negative"": 0.000408, ""negative"": 0.003678, ""negative or neutral"": 0.169754, ""positive"": 0.821142, ""strongly positive"": 0.005018}",0.000408,0.003678,0.169754,0.821142,0.005018
46,4128,2288,5.0,51,positive,4,3.942660519067431,"{""strongly negative"": 0.000439, ""negative"": 0.001336, ""negative or neutral"": 0.066063, ""positive"": 0.919452, ""strongly positive"": 0.012711}",0.000439,0.001336,0.066063,0.919452,0.012711
47,386,1818,4.0,118,positive,4,3.611983515555039,"{""strongly negative"": 0.001281, ""negative"": 0.014678, ""negative or neutral"": 0.360651, ""positive"": 0.617557, ""strongly positive"": 0.005833}",0.001281,0.014678,0.360651,0.617557,0.005833
48,3052,2107,5.0,111,positive,4,3.623998394410592,"{""strongly negative"": 0.00057, ""negative"": 0.007194, ""negative or neutral"": 0.362899, ""positive"": 0.626338, ""strongly positive"": 0.002998}",0.00057,0.007194,0.362899,0.626338,0.002998
49,2830,2039,5.0,40,positive,4,3.951122676691739,"{""strongly negative"": 0.000243, ""negative"": 0.002141, ""negative or neutral"": 0.059557, ""positive"": 0.922368, ""strongly positive"": 0.015691}",0.000243,0.002141,0.059557,0.922368,0.015691
50,2573,491,4.0,136,positive,4,3.961128504306544,"{""strongly negative"": 0.000604, ""negative"": 0.002783, ""negative or neutral"": 0.0585, ""positive"": 0.911105, ""strongly positive"": 0.027008}",0.000604,0.002783,0.0585,0.911105,0.027008
