user_id,item_id,ratings,reviews
2991,1330,5.0,"A great series with the best qualified actors/actresses.  I eagerly looked forward to each episode.  It had its serious side, but also humor at times.  I think this would be good for families to watch together.  Augie's roll really was wonderful and made it different from the same old, same old.  It is action packed."
4200,110,5.0,"Many years ago, I watched Doctor Who on PBS when I could, but I lost track of The Doctor when I moved to Arkansas in 1992.Now that I've got Amazon Prime, I'm delighted to see that they have many seasons of Doctor Who, both original and rebooted series.I decided to watch the reboots first, and I'm enjoying them as much as I remember enjoying the older doctors.Though the doctors change, and the companions change, I like the way that it happens logically. I better understand how and why The Doctor regenerates, and I even understand how each of the Time Lords (back where there were more than one) chose their names, as our multiply-lived &#34;The Doctor&#34; chose his.I like the way that the producers and writers found creative ways to keep bringing back the various bad guys, and I like the way that some of the so-called villains are not always villainous, but merely seeing life from a different perspective.The nice thing about the Specials is that they have extra time to spend on the story, and in the case of the David Tennant Specials, there are &#34;Making Of&#34; episodes that are about as long as the episodes themselves.While it isn't necessary to watch the seasons and specials in any particular order, you can find complete listings of the episodes online.The copy I found shows this order for the reboot:Reboot Season One: 9th doctorReboot Season 2-3-4: 10th doctorDavid Tennant Specials: 10th doctorReboot Season 5: 11th doctorSpecial: A Christmas CarolReboot Season 6: 11th doctorSpecial: The Doctor, the Widow and the WardrobeReboot Season 7: part one (5 episodes)Special: The SnowmenReboot Season 7: part two (8 episodes)and of course, there are also Special Specials that do not fit anywhere in the timeline aboveDW: Best of the DoctorsDW: Best of the MonstersDW: Best of the CompanionsDW: Best of the Christmas SpecialsDW: The CompanionsIf you enjoy time travel, sci fi, fantasy, or just plain fun, try Doctor Who?John"
2523,1011,5.0,"The group moves to a prison, they introduce this character called &#34;The Governor&#34;.  Darryl really comes into his own as the badassed zombie slayer.  Must see."
305,481,4.0,"This is a show I look forward to.  It's light hearted, gives interesting, obscure information on different subject matter that I didn't know the facts presented.  It's fun."
1871,880,4.0,"In 30 minutes the director was able to tell a thoughtful story to set the foundation for more to come. Bernadette Peters as a guest, yes!! She's amazing in anything and looks great here. Of course, Gael Garcia Bernal is eye candy and a great actor. I'd hope that his character is developed more in subsequent episodes as it left him looking opportunistic and arrogant and sleeping with any girl that comes by. I suspect more depth is there. The subtitle of the original book &#34;sex, drugs and classical music&#34; explains why there is so much sex and drugs in the pilot. That alone does not appeal to me, but the musical aspect is refreshing and full of possibilities. I think this show definitely appeals to a younger audience, although I'm not in that demographic I would probably watch it primarily for the music, scenes of NYC, and Bernal."
3314,1556,2.0,Jr high setting.  Entertaining in a weird way but too juvinile to watch a whole series.  Reminiscent of 80s movies
1686,373,5.0,"The thing about this series is that it's a serial. It's not particularly episodic. Each episode builds on what went before. I was telling my sister, who hasn't started it yet, that at first you'll wonder what the fuss is about. Well, about midway through the series you'll be totally hooked and totally understand that it's a Shakespearean-style tragedy about greed, corruption, and the human genius for deceiving oneself. Additional aspects of the tragedy involve how innocent people get dragged into the protagonist's tragedy, with sometimes fatal results. And all along he tells himself he's doing it for his family. Yeah, right."
4534,282,1.0,"Very boring, not a good story. Starts out slow and get even slower. A complete waste of good money. I found it very hard to find the main character believable in any way."
4614,1107,4.0,"Spectacularly executed third season.  Excellent story-lines driven by engaging actors.  This ensemble cast went to work and got it right.  If you want a drama that has humor, wit and charm, try putting on Suits.  It's a great fit."
1619,727,5.0,"I love Survivor and it doesn't get better than this. This is, without doubt, my favorite season. Don't hesitate to check it out."
3077,880,4.0,"I wasn't sure about this show, when it came to the party scene I was like you there isn't anything like this on TV about musicians and their work or finding one but then again I just remembered Treme. Anyway I am interested in seeing what happens next after that ending and what the writers has in store for her if she makes the cut."
3518,1182,5.0,I have read the book and seen every version of it and this is the best!
3486,1351,4.0,"British mysteries tend to take you to the villages or city life of England and this one is no different. I will probably check out the rest of the mysteries in the series, but I didn't get caught up in the story or the characters. I know, I know, I should. It's British and all and by definition, that means it's far superior to anything we, across the pond, can muster unless it blows up or takes off its clothes or races after something equally high powered in a winner-takes-all-after-destroying-everything contest."
4978,1587,2.0,"I did not like the movie, I am a horror movie junkie ( if there is such a thing). This  was not horror to me."
4555,1075,3.0,"This series seems to be a copycat of another series Brad Meltzer's Decoded. No answers are provided, only questions. If you are bored stiff and there is absolutely nothing else on, and you sick drawer has already been arranged twice this week, it's OK to waste time watching this series."
3379,106,5.0,"Our whole family loves NCIS. My granson watches it over and over again. I have to admit, my husband and I have watched the DVDs twice now. The only negative thing I have to say is we miss Zeva. Otherwise it is the Best show on TV!"
3896,1015,5.0,"I was a bit skeptical about this show, because I haven't seen many TV shows that did the musical number thing well. But ""Smash"" pulled it off. It's the classic ""show within a show"" story, which helps a lot. One of my favorite musicals is ""Kiss Me, Kate"" which is a classic of that genre.My wife and I loved the pilot. The characters are interesting, the writing is clever, and there's a good balance of drama and humor. And the song and dance numbers are certainly worthy of Broadway. I read that Spielberg said if the show does well that he wants to actually take the show to Broadway. It would be interested to see if that happens.Give this show a chance. You might get hooked."
2578,952,4.0,"What a clever premise!  A sociopath with serial killer tendencies is spotted at a very early age by a seasoned police officer (while the child is up for adoption).  The Officer adopts the child and takes the opportunity to carefully ingrain in him that he is ONLY to kill others like him...serial killers....who have managed to slip through the system and remain free.  Dexter learns to be one of the best blood spatter experts at the police station.This is extraordinarily interesting as Dexter narrates his inner most thoughts, and we get to learn how a sociopath, with no empathy or understanding of how ""normal"" people feel, navigates through society mimicking how people behave.  That is fascinating.  The acting is dead-on and the writing is crisp and taught.  My ONLY issue with this series is the foul, gutter mouth of Dexter's sister...it is so extreme that it feels like slaps in the face.Really good television."
