dataset,quartile,delta_mae_mean,delta_mae_std,pt_rate_mean,pt_rate_std,neutral_rate_mean,neutral_rate_std,nt_rate_mean,nt_rate_std,n_mean,n_std
digital,Q1,0.0016312126839264061,0.001416189645689945,0.19122373300370826,0.016916382050318302,0.5998763906056861,0.031352577921311596,0.20889987639060567,0.016594174343306355,1618.0,0.0
digital,Q2,0.009303051137511604,0.005230896598277765,0.45964153275648945,0.020319557269909756,0.009765142150803461,0.003530028840643411,0.5305933250927071,0.020667898977981124,1618.0,0.0
digital,Q3,0.014388601869879194,0.01412620993408816,0.44811379097093385,0.029542825502143186,0.022634508348794064,0.00761446826054243,0.5292517006802722,0.02905344967344636,1617.0,0.0
digital,Q4,-0.027603513311838784,0.017660668992393193,0.4973423980222497,0.0175029670518045,0.023918417799752782,0.006208219532186742,0.4787391841779975,0.0151759584918576,1618.0,0.0
instant,Q1,0.001286954977283952,0.003109537002495032,0.2545748116254037,0.018486487272785665,0.4757804090419806,0.035758672417082124,0.2696447793326157,0.030531441557982427,929.0,0.0
instant,Q2,0.0072397621541187675,0.012363207075506269,0.47413793103448276,0.03628406982521377,0.007758620689655172,0.0037945725994954762,0.5181034482758621,0.03456422966575952,928.0,0.0
instant,Q3,0.014014898446099506,0.021376517754487772,0.4568965517241379,0.03758358149289751,0.016810344827586206,0.008303553607356259,0.5262931034482758,0.03496283391806189,928.0,0.0
instant,Q4,0.03525651287415932,0.03307414414896037,0.45603448275862063,0.029805860468570578,0.020905172413793104,0.00779048374237124,0.5230603448275862,0.028279424595685686,928.0,0.0
office,Q1,0.0017970590283331491,0.0009407535153818058,0.15003756574004506,0.02536743093405129,0.6818181818181819,0.05134076095766088,0.1681442524417731,0.0275158610704549,1331.0,0.0
office,Q2,0.013516262417713743,0.008143967278606409,0.44192336589030806,0.030066780188668027,0.006160781367392938,0.0014942583411145804,0.5519158527422989,0.030815510327297874,1331.0,0.0
office,Q3,0.03445077542971848,0.01925939081598225,0.4201503759398496,0.04073865260836903,0.007443609022556391,0.003407968405695246,0.572406015037594,0.04092364237667158,1330.0,0.0
office,Q4,0.061911235860556614,0.011587547020936628,0.4231404958677686,0.01858920106174039,0.014650638617580767,0.0030926844566061783,0.5622088655146507,0.01943778508768981,1331.0,0.0
