dataset,seed,quartile,delta_mae,pt_rate,neutral_rate,nt_rate,n
instant,7,Q2,0.002181277192872141,0.49137931034482757,0.011853448275862068,0.49676724137931033,928
instant,7,Q1,0.0017224271792769968,0.26480086114101187,0.4628632938643703,0.2723358449946179,929
instant,7,Q3,0.002972248684743338,0.47413793103448276,0.016163793103448277,0.509698275862069,928
instant,7,Q4,0.07369387393881535,0.43211206896551724,0.015086206896551725,0.552801724137931,928
instant,11,Q3,0.0035988148944131287,0.47413793103448276,0.015086206896551725,0.5107758620689655,928
instant,11,Q2,0.006650976579764786,0.47413793103448276,0.00646551724137931,0.5193965517241379,928
instant,11,Q4,0.05847039330622244,0.4418103448275862,0.017241379310344827,0.540948275862069,928
instant,11,Q1,-3.725399370471131e-05,0.232508073196986,0.5382131324004306,0.22927879440258342,929
instant,17,Q3,-0.013795955941594877,0.5053879310344828,0.01939655172413793,0.47521551724137934,928
instant,17,Q1,0.0008747000227190218,0.25080731969860065,0.48869752421959095,0.2604951560818084,929
instant,17,Q4,-0.010336088337774921,0.4989224137931034,0.01939655172413793,0.4816810344827586,928
instant,17,Q2,-0.0014775413377531512,0.5086206896551724,0.003232758620689655,0.48814655172413796,928
instant,29,Q2,0.0037268939717062547,0.4870689655172414,0.00646551724137931,0.5064655172413793,928
instant,29,Q3,0.004668058377915413,0.47413793103448276,0.015086206896551725,0.5107758620689655,928
instant,29,Q1,7.875255670948178e-05,0.2432723358449946,0.5016146393972013,0.25511302475780406,929
instant,29,Q4,-0.020047707033568417,0.5032327586206896,0.021551724137931036,0.47521551724137934,928
instant,42,Q1,0.0021313179937964342,0.263724434876211,0.45317545748116256,0.2831001076426265,929
instant,42,Q3,0.013584218919277195,0.45905172413793105,0.008620689655172414,0.5323275862068966,928
instant,42,Q2,0.014311427443191919,0.4515086206896552,0.007543103448275862,0.540948275862069,928
instant,42,Q4,0.029510982077697222,0.46551724137931033,0.021551724137931036,0.5129310344827587,928
instant,53,Q2,0.024155691522976454,0.42564655172413796,0.008620689655172414,0.5657327586206896,928
instant,53,Q1,0.008413900215222833,0.22820236813778255,0.43918191603875134,0.3326157158234661,929
instant,53,Q3,0.05126784793261822,0.39978448275862066,0.01293103448275862,0.5872844827586207,928
instant,53,Q4,0.07148662993106349,0.4105603448275862,0.032327586206896554,0.5571120689655172,928
instant,71,Q1,-0.0013088085422987984,0.24757804090419805,0.5177610333692142,0.23466092572658773,929
instant,71,Q4,0.04355823081629029,0.45689655172413796,0.014008620689655173,0.5290948275862069,928
instant,71,Q2,0.011783893252241197,0.4558189655172414,0.008620689655172414,0.5355603448275862,928
instant,71,Q3,0.02526456387392406,0.44612068965517243,0.008620689655172414,0.5452586206896551,928
instant,123,Q1,-0.0021908484696058854,0.2917115177610334,0.44241119483315394,0.2658772874058127,929
instant,123,Q2,-0.015279455174659846,0.5387931034482759,0.0010775862068965517,0.46012931034482757,928
instant,123,Q4,0.007897299039980448,0.47413793103448276,0.018318965517241378,0.5075431034482759,928
instant,123,Q3,-0.011586162165321164,0.4989224137931034,0.014008620689655173,0.4870689655172414,928
instant,2023,Q1,-0.0009493424894991852,0.2572658772874058,0.48116254036598494,0.26157158234660927,929
instant,2023,Q2,0.00038427140178349796,0.4859913793103448,0.014008620689655173,0.5,928
instant,2023,Q3,0.022133526488624763,0.44504310344827586,0.020474137931034482,0.5344827586206896,928
instant,2023,Q4,0.04075379207216459,0.44396551724137934,0.01293103448275862,0.5431034482758621,928
instant,3407,Q2,0.025960186689064427,0.4224137931034483,0.009698275862068966,0.5678879310344828,928
instant,3407,Q1,0.00413470530022333,0.2658772874058127,0.4327233584499462,0.3013993541442411,929
instant,3407,Q4,0.05757772293070267,0.4331896551724138,0.036637931034482756,0.5301724137931034,928
