dataset,seed,subset,rho_D_G,rho_A_M,direction_match,n_users,n_interactions
instant,7,all,0.48975522730549853,0.2361704367968477,0.6969481902058198,1308,2031
instant,7,Q4,0.5961967193069,0.05851427231809876,0.8501291989664083,395,495
instant,11,all,0.47488520292728276,0.18694839489960285,0.6983676366217175,1308,2031
instant,11,Q4,0.5911054777743384,0.12739581427479357,0.8525469168900804,397,491
instant,17,all,0.4699091430555153,0.22087885693322912,0.6650106458481192,1308,2031
instant,17,Q4,0.5095857269613144,0.07387892663227041,0.8221649484536082,386,486
instant,29,all,0.25515652766195834,0.12841203747449373,0.602555003548616,1308,2031
instant,29,Q4,0.18466547524977264,0.01621739088155972,0.6465753424657534,414,494
instant,42,all,0.45093112431959137,0.1977236586115424,0.6962384669978708,1308,2031
instant,42,Q4,0.5343328510226386,0.14309151883363416,0.8133704735376045,390,467
instant,53,all,0.5090185727623296,0.2387961631011464,0.7345635202271115,1308,2031
instant,53,Q4,0.5574954746292647,0.03887042308903624,0.8393782383419689,388,478
instant,71,all,0.5180316664801181,0.24207817711311497,0.6983676366217175,1308,2031
instant,71,Q4,0.597669004115454,0.12698275519357843,0.8669950738916257,411,511
instant,123,all,0.5246798591109664,0.1820303447157231,0.6834634492547906,1308,2031
instant,123,Q4,0.5081372283069411,0.12656679156352788,0.8688946015424165,384,511
instant,2023,all,0.5598644038581592,0.3033079657148404,0.7224982256919801,1308,2031
instant,2023,Q4,0.5662274614874883,0.08336826233708008,0.8610421836228288,401,506
instant,3407,all,0.5108509136064691,0.23318327779713213,0.7175301632363378,1308,2031
instant,3407,Q4,0.6406384939974434,0.11419367607517329,0.8625,380,491
office,7,all,0.49488881913133576,0.24554990871854754,0.7216666666666667,2112,4271
office,7,Q4,0.6014227833272886,0.1949188925367061,0.8896103896103896,694,967
office,11,all,0.47734156713774867,0.19902514028122437,0.7226666666666667,2112,4271
office,11,Q4,0.5295497782283928,0.1652919824300923,0.8337696335078534,732,987
office,17,all,0.5363978387833052,0.2217056831319742,0.7356666666666667,2112,4271
office,17,Q4,0.6035269446280057,0.12395522409054208,0.8858974358974359,740,1014
office,29,all,0.4199522028037996,0.18243526882573188,0.7046666666666667,2112,4271
office,29,Q4,0.4379357936781587,0.09798963793466371,0.8108108108108109,719,978
office,42,all,0.4451477630943954,0.1719889030836095,0.6893333333333334,2112,4271
office,42,Q4,0.4466404147818789,0.17151400739062458,0.8083989501312336,725,990
office,53,all,0.44466887342680445,0.19950180774974138,0.709,2112,4271
office,53,Q4,0.4802072356163175,0.1570916458600405,0.823915900131406,706,971
office,71,all,0.4707526626955915,0.17353703941041823,0.698,2112,4271
office,71,Q4,0.5257182040896293,0.22472830702569943,0.8409090909090909,700,977
office,123,all,0.4054366403780478,0.16632401050823578,0.712,2112,4271
office,123,Q4,0.3705404979105427,0.09608895481212107,0.800771208226221,760,1015
office,2023,all,0.388689937933158,0.16309000190613895,0.6936666666666667,2112,4271
office,2023,Q4,0.4065015889450052,0.15559343744913334,0.7868421052631579,727,985
office,3407,all,0.43285703184771257,0.1974671423497675,0.711,2112,4271
office,3407,Q4,0.4279469405571873,0.10136766300799083,0.7928759894459103,733,973
digital,7,all,0.2742631087938813,0.141002333215505,0.6241610738255033,2232,5128
digital,7,Q4,0.2161262248532615,0.06667093431529897,0.6655701754385965,810,1191
digital,11,all,0.19043238714754804,0.13761569023080272,0.6146532438478747,2232,5128
digital,11,Q4,0.10755634053317763,0.12519625038522467,0.6026344676180022,823,1233
digital,17,all,0.2817258182979048,0.13204774206041117,0.6252796420581656,2232,5128
digital,17,Q4,0.30144421000901794,0.10239804262560567,0.6722408026755853,820,1213
digital,29,all,0.23675563260958457,0.1569409042536463,0.5894854586129754,2232,5128
digital,29,Q4,0.23226078535878014,0.1258433275371616,0.6375690607734806,822,1207
digital,42,all,0.24045035371062431,0.10678694236866361,0.6009507829977628,2232,5128
digital,42,Q4,0.18328876085450715,0.09724343082921413,0.6358511837655016,819,1217
digital,53,all,0.20279687679817016,0.12517869509189478,0.6138143176733781,2232,5128
digital,53,Q4,0.16047624262167748,0.128264994322255,0.6187782805429864,815,1203
digital,71,all,0.1908215460330781,0.08187473938505364,0.5855704697986577,2232,5128
digital,71,Q4,0.17956051500585768,0.16490453953501352,0.6122004357298475,808,1219
digital,123,all,0.196301719140732,0.12269444445865381,0.5808165548098434,2232,5128
digital,123,Q4,0.1453628598964553,0.1400678621579917,0.6063084112149533,806,1175
digital,2023,all,0.2952171971145192,0.12887229481368395,0.6252796420581656,2232,5128
digital,2023,Q4,0.28602116987833626,0.13419059301731676,0.6619718309859155,825,1182
digital,3407,all,0.239424748817874,0.1362941930859679,0.6071029082774049,2232,5128
digital,3407,Q4,0.1911102756482152,0.1715508722663704,0.6144444444444445,803,1210
