dataset,seed,case,mean_signed_gap,delta_mae,pt_rate,nt_rate,n_users,n_interactions
instant,7,R+T-,-0.5872082250664034,0.26117855669504186,0.27710843373493976,0.7108433734939759,62,83
instant,7,R-T+,0.6255272410132668,-0.12421170364726669,0.5454545454545454,0.41818181818181815,44,55
instant,11,R-T+,0.5400821622461079,-0.08983015455305574,0.546875,0.453125,50,64
instant,11,R+T-,-0.5893907510873043,0.22367713306889384,0.2878787878787879,0.7121212121212122,54,66
instant,17,R-T+,0.6206045491354806,-0.2121794595346822,0.6493506493506493,0.35064935064935066,60,77
instant,17,R+T-,-0.4795339872252266,0.2503200836901395,0.2830188679245283,0.7169811320754716,42,53
instant,29,R-T+,0.2756209069109978,-0.1496636410976978,0.5531914893617021,0.40425531914893614,36,47
instant,29,R+T-,-0.4123105309226296,0.1855352575128728,0.2909090909090909,0.7090909090909091,48,55
instant,42,R+T-,-0.57800476304416,0.29000704041842756,0.25862068965517243,0.7413793103448276,49,58
instant,42,R-T+,0.5227888035324385,-0.10408120785119392,0.5660377358490566,0.39622641509433965,46,53
instant,53,R+T-,-0.6155992788427016,0.2862313158371869,0.2235294117647059,0.7529411764705882,68,85
instant,53,R-T+,0.5161255510841928,-0.10785444771371232,0.5853658536585366,0.4146341463414634,34,41
instant,71,R-T+,0.5456704139709473,-0.09189275332859584,0.5571428571428572,0.42857142857142855,57,70
instant,71,R+T-,-0.5538292322585833,0.26622663682966097,0.29850746268656714,0.6865671641791045,50,67
instant,123,R-T+,0.7058121709080486,-0.11620345518186499,0.5324675324675324,0.45454545454545453,56,77
instant,123,R+T-,-0.4186039843210359,0.19075826900761295,0.3170731707317073,0.6585365853658537,33,41
instant,2023,R-T+,0.6920218994091083,-0.06290192108649711,0.5324675324675324,0.4675324675324675,60,77
instant,2023,R+T-,-0.5344686815815587,0.26140513727741854,0.2903225806451613,0.7096774193548387,51,62
instant,3407,R-T+,0.5516398599592307,-0.050554109831987826,0.5254237288135594,0.4745762711864407,47,59
instant,3407,R+T-,-0.6317090562411717,0.18325803677241007,0.30952380952380953,0.6785714285714286,60,84
office,7,R-T+,0.47087314110675843,0.05224307620798363,0.45038167938931295,0.5419847328244275,86,131
office,7,R+T-,-0.40202741622924804,0.14208058066990065,0.2956521739130435,0.6869565217391305,77,115
office,11,R-T+,0.4619359713940581,0.0020568646675299387,0.47107438016528924,0.5041322314049587,84,121
office,11,R+T-,-0.37076222269158615,0.09798723020051658,0.37894736842105264,0.6210526315789474,66,95
office,17,R-T+,0.5562641112892716,-0.04390520298922503,0.5092592592592593,0.4351851851851852,74,108
office,17,R+T-,-0.4095224769027145,0.18508800577234338,0.2740740740740741,0.725925925925926,91,135
office,29,R-T+,0.29855479134453666,0.0325468010372586,0.45555555555555555,0.5333333333333333,67,90
office,29,R+T-,-0.3218924253041508,0.09380962284466696,0.366412213740458,0.6259541984732825,86,131
office,42,R-T+,0.4098071405311036,0.0805262109033423,0.3790849673202614,0.5882352941176471,100,153
office,42,R+T-,-0.3094441053029653,0.08766920502121382,0.3918918918918919,0.6081081081081081,51,74
office,53,R-T+,0.42749326540076216,0.024641036987304715,0.46956521739130436,0.4956521739130435,79,115
office,53,R+T-,-0.36610645055770874,0.05961594482262924,0.4375,0.5520833333333334,64,96
office,71,R-T+,0.44084080177194934,0.09074645533281217,0.35294117647058826,0.6397058823529411,92,136
office,71,R+T-,-0.38190626486753804,0.1523469166877942,0.358974358974359,0.6282051282051282,55,78
office,123,R-T+,0.2248600761095683,0.012024947007497205,0.45555555555555555,0.5222222222222223,66,90
office,123,R+T-,-0.4204435540097102,0.08877106436661318,0.39285714285714285,0.6071428571428571,76,112
office,2023,R+T-,-0.3656372648946355,0.05773563599318595,0.4044943820224719,0.5955056179775281,62,89
office,2023,R-T+,0.28106182510569944,0.03689583075248592,0.4576271186440678,0.5254237288135594,81,118
office,3407,R-T+,0.4012666962168238,0.06221900007746241,0.36936936936936937,0.5765765765765766,79,111
office,3407,R+T-,-0.3858997993641072,0.12992136113278493,0.32432432432432434,0.6666666666666666,71,111
